name,stocking_info,longitude,county,latitude,alt,size,location
Minotaur,"Rainbow trout: 2009-08-27 00:00:00__1,500,Rainbow trout: 2004-10-09 00:00:00__1,500",-121.03885,Chelan County,47.846573,5554,18.1,47.846573 -121.03885
Lost,"Cutthroat trout: 2012-11-01 00:00:00__85,Cutthroat trout: 2012-10-08 00:00:00__90,Cutthroat trout: 2003-08-23 00:00:00__112,Cutthroat trout: 2000-09-20 00:00:00__374",-120.62733,Chelan County,47.884394,5630,1,47.884394 -120.62733
Lorraine,"Cutthroat trout: 2012-09-20 00:00:00__70,Cutthroat trout: 2010-08-25 00:00:00__70,Cutthroat trout: 2008-09-01 00:00:00__70",-121.084264,Chelan County,47.663069,5069,2.6,47.663069 -121.084264
Larch - Upper,Cutthroat trout: 2002-08-08 00:00:00__823,-120.738846,Chelan County,48.063584,5736,4.3,48.063584 -120.738846
Lake Creek Pond,"Cutthroat trout: 2010-09-10 00:00:00__60,Cutthroat trout: 2005-09-29 00:00:00__47",-121.136842,Chelan County,47.86906,4344,0.8,47.86906 -121.136842
King,"Golden trout: 2009-10-23 00:00:00__550,Golden trout: 2001-09-28 00:00:00__485",-120.897024,Chelan County,48.094608,5948,2.3,48.094608 -120.897024
Jungfrau,Golden trout: 2009-08-31 00:00:00__230,-121.111376,Chelan County,47.609316,5352,5,47.609316 -121.111376
Jove,"Rainbow trout: 2009-10-11 00:00:00__60,Rainbow trout: 2004-09-13 00:00:00__60",-121.067567,Chelan County,47.82463,5157,0.7,47.82463 -121.067567
Josephine,"Golden trout: 2011-10-05 00:00:00__560,Golden trout: 2006-09-12 00:00:00__560",-121.057149,Chelan County,47.719148,4686,22.5,47.719148 -121.057149
Ingalls,"Cutthroat trout: 2011-10-17 00:00:00__400,Cutthroat trout: 2005-09-08 00:00:00__860,Cutthroat trout: 2000-09-25 00:00:00__664,Golden trout: 2012-10-06 00:00:00__400,Rainbow trout: 2003-09-22 00:00:00__668",-120.938581,Chelan County,47.470437,6467,15.8,47.470437 -120.938581
Indian Pond 1,"Cutthroat trout: 2011-09-15 00:00:00__100,Cutthroat trout: 2008-09-12 00:00:00__50",-120.933061,Chelan County,47.928978,2737,0.3,47.928978 -120.933061
Ida,"Cutthroat trout: 2009-08-15 00:00:00__800,Cutthroat trout: 2002-09-24 00:00:00__1,383",-120.859427,Chelan County,47.635527,6765,15,47.635527 -120.859427
Ice 1 (East),"Cutthroat trout: 2005-09-07 00:00:00__1,762,Cutthroat trout: 2003-10-14 00:00:00__1,305,Cutthroat trout: 2000-08-17 00:00:00__2,018",-120.78348,Chelan County,48.13359,6826,20.1,48.13359 -120.78348
Horseshoe,"Cutthroat trout: 2013-09-27 00:00:00__250,Cutthroat trout: 2010-09-11 00:00:00__468,Cutthroat trout: 2005-09-08 00:00:00__460,Cutthroat trout: 2000-09-20 00:00:00__962",-120.908029,Chelan County,47.493959,6269,8.3,47.493959 -120.908029
Granite Mountain Pothole 3,"Rainbow trout: 2009-08-19 00:00:00__70,Rainbow trout: 2004-08-28 00:00:00__50",-121.10931,Chelan County,47.593185,6315,1.5,47.593185 -121.10931
Granite Mountain Pothole 2,"Rainbow trout: 2009-08-19 00:00:00__117,Rainbow trout: 2004-08-28 00:00:00__80",-121.106132,Chelan County,47.592856,6034,2.3,47.592856 -121.106132
Granite Mountain Pothole 1,"Rainbow trout: 2009-08-19 00:00:00__205,Rainbow trout: 2004-08-28 00:00:00__120",-121.104776,Chelan County,47.593922,5990,4.4,47.593922 -121.104776
Grace - Upper,Golden trout: 2011-10-02 00:00:00__80,-120.931821,Chelan County,47.690164,6913,2.5,47.690164 -120.931821
Glasses,"Cutthroat trout: 2005-09-08 00:00:00__1,995",-121.12579,Chelan County,47.842054,4632,22.2,47.842054 -121.12579
French Potholes - Upper,"Golden trout: 2011-10-03 00:00:00__250,Golden trout: 2011-09-26 00:00:00__0",-121.084437,Chelan County,47.568263,5716,3.8,47.568263 -121.084437
Florence - Upper,"Rainbow trout: 2011-09-21 00:00:00__160,Rainbow trout: 2008-09-10 00:00:00__160,Rainbow trout: 2007-10-06 00:00:00__0,Rainbow trout: 2004-09-18 00:00:00__159,Rainbow trout: 2001-09-22 00:00:00__158",-120.935226,Chelan County,47.657074,6508,2.4,47.657074 -120.935226
Flora,"Cutthroat trout: 2010-09-04 00:00:00__640,Cutthroat trout: 2005-09-08 00:00:00__645",-120.914766,Chelan County,47.6692,5715,5.4,47.6692 -120.914766
Florence - Lower,"Cutthroat trout: 2011-10-13 00:00:00__299,Cutthroat trout: 2000-09-25 00:00:00__1,202",-120.939306,Chelan County,47.65373,5795,1.6,47.65373 -120.939306
Fish Lake,"Brown trout: 2006-05-10 00:00:00__26,125,Rainbow trout: 2006-05-10 00:00:00__74,448,Rainbow trout: 2006-05-09 00:00:00__70,550",-120.704719,Chelan County,47.834435,1933,492.5,47.834435 -120.704719
Ethel,"Cutthroat trout: 2000-09-20 00:00:00__1,503,Rainbow trout: 2005-08-25 00:00:00__945",-120.888462,Chelan County,47.75048,5504,15.3,47.75048 -120.888462
Enchantment No 8,"Golden trout: 2011-09-23 00:00:00__100,Golden trout: 2006-09-23 00:00:00__100,Golden trout: 2001-09-28 00:00:00__100",-120.817008,Chelan County,47.479236,7714,2.6,47.479236 -120.817008
Enchantment 9 (Tranquil),"Golden trout: 2011-09-23 00:00:00__60,Golden trout: 2006-09-23 00:00:00__60,Golden trout: 2001-09-28 00:00:00__64",-120.817995,Chelan County,47.481031,7800,1.5,47.481031 -120.817995
Enchantment 10 (Isolation),"Golden trout: 2011-09-23 00:00:00__820,Golden trout: 2006-09-23 00:00:00__820,Golden trout: 2001-09-28 00:00:00__816",-120.819552,Chelan County,47.47721,7704,19.8,47.47721 -120.819552
Enchantment 1 (Temple),"Rainbow trout: 2013-09-25 00:00:00__280,Rainbow trout: 2007-08-25 00:00:00__280",-120.778883,Chelan County,47.484912,6875,4.4,47.484912 -120.778883
Edna,"Golden trout: 2009-09-21 00:00:00__140,Golden trout: 2001-09-22 00:00:00__140",-120.912157,Chelan County,47.657063,6755,1.8,47.657063 -120.912157
Eightmile,"Cutthroat trout: 2000-09-18 00:00:00__12,549,Rainbow trout: 2005-08-25 00:00:00__10,800,Rainbow trout: 2003-09-22 00:00:00__10,740",-120.865256,Chelan County,47.520336,4645,63,47.520336 -120.865256
Donald,"Cutthroat trout: 2000-09-20 00:00:00__1,185,Rainbow trout: 2005-08-25 00:00:00__765",-120.890492,Chelan County,47.735099,5875,11.6,47.735099 -120.890492
Eagle Creek Pond,Cutthroat trout: 2007-10-08 00:00:00__42,-120.615975,Chelan County,47.6363,1396,3.5,47.6363 -120.615975
Domke Lake,"Cutthroat trout: 2005-09-07 00:00:00__11,267,Cutthroat trout: 2004-09-22 00:00:00__10,793,Cutthroat trout: 2003-10-14 00:00:00__11,136,Cutthroat trout: 2002-09-23 00:00:00__10,902,Cutthroat trout: 2000-09-18 00:00:00__10,952",-120.58809,Chelan County,48.177455,2196,272.7,48.177455 -120.58809
Crystal,Golden trout: 2001-09-28 00:00:00__372,-120.802208,Chelan County,47.47423,7009,7.1,47.47423 -120.802208
Crescent,Rainbow trout: 2001-09-27 00:00:00__150,-120.954693,Chelan County,47.805352,5464,2.2,47.805352 -120.954693
Copper Creek Pot,"Rainbow trout: 2012-08-27 00:00:00__49,Rainbow trout: 2007-09-10 00:00:00__50",-120.649937,Chelan County,48.493545,5855,1.6,48.493545 -120.649937
Cradle,"Golden trout: 2011-10-08 00:00:00__550,Golden trout: 2004-10-02 00:00:00__570",-120.99467,Chelan County,47.556121,6181,7.4,47.556121 -120.99467
Colchuck,"Cutthroat trout: 2000-09-20 00:00:00__5,314",-120.833592,Chelan County,47.491988,5574,85.7,47.491988 -120.833592
Clear,Golden trout: 2006-09-23 00:00:00__230,-121.121927,Chelan County,47.636475,5192,3.4,47.636475 -121.121927
Choral,Golden trout: 2013-09-20 00:00:00__110,-120.656643,Chelan County,48.087485,7193,1.7,48.087485 -120.656643
Caroline - Little,Rainbow trout: 2005-08-25 00:00:00__225,-120.872258,Chelan County,47.54365,6309,2,47.54365 -120.872258
Caroline,"Rainbow trout: 2011-10-02 00:00:00__478,Rainbow trout: 2005-08-25 00:00:00__495",-120.864283,Chelan County,47.539571,6192,6.1,47.539571 -120.864283
Canaan,"Cutthroat trout: 2013-10-23 00:00:00__150,Cutthroat trout: 2006-09-30 00:00:00__120,Cutthroat trout: 2002-09-14 00:00:00__150",-120.943411,Chelan County,47.815032,5915,1.8,47.815032 -120.943411
Cara,"Golden trout: 2009-09-15 00:00:00__100,Golden trout: 2002-09-28 00:00:00__150",-120.855598,Chelan County,47.571056,6910,1.7,47.571056 -120.855598
Brigham,"Cutthroat trout: 2010-09-04 00:00:00__250,Cutthroat trout: 2005-09-08 00:00:00__645",-120.921084,Chelan County,47.670106,5832,3.4,47.670106 -120.921084
C&E Pot,"Golden trout: 2011-10-16 00:00:00__128,Golden trout: 2006-09-22 00:00:00__120,Golden trout: 2001-10-06 00:00:00__120",-120.896029,Chelan County,47.723779,5439,2.2,47.723779 -120.896029
Bob,Golden trout: 2002-09-23 00:00:00__449,-121.064356,Chelan County,47.589806,5196,3.3,47.589806 -121.064356
Beehive Reservoir,"Rainbow trout: 2005-06-02 00:00:00__2,250,Rainbow trout: 2005-05-20 00:00:00__6,630,Rainbow trout: 2005-04-26 00:00:00__6,250,Rainbow trout: 2004-06-04 00:00:00__2,613,Rainbow trout: 2003-06-09 00:00:00__3,432",-120.399643,Chelan County,47.326567,4247,13.2,47.326567 -120.399643
Augusta,"Cutthroat trout: 2005-09-08 00:00:00__1,074",-120.835361,Chelan County,47.653492,6858,23.1,47.653492 -120.835361
Alice,"Rainbow trout: 2011-09-21 00:00:00__240,Rainbow trout: 2005-09-17 00:00:00__237",-120.917521,Chelan County,47.647503,6037,3.8,47.647503 -120.917521
Kwahnesum,"Rainbow trout: 2003-09-09 00:00:00__1,500",-121.481593,Whatcom County,48.975987,5106,16.4,48.975987 -121.481593
Hi Yu,"Rainbow trout: 2005-08-20 00:00:00__249,Rainbow trout: 2001-08-25 00:00:00__299",-121.465687,Whatcom County,48.662256,3831,3.2,48.662256 -121.465687
Diobsud - Middle,Rainbow trout: 2003-08-17 00:00:00__199,-121.542977,Whatcom County,48.648805,4430,3.8,48.648805 -121.542977
Firn,Rainbow trout: 2000-09-11 00:00:00__150,-121.153278,Whatcom County,48.833075,5476,4.5,48.833075 -121.153278
Copper,"Rainbow trout: 2006-09-26 00:00:00__1,000,Rainbow trout: 2002-08-15 00:00:00__1,000",-121.450833,Whatcom County,48.918069,5267,12.9,48.918069 -121.450833
Diobsud - E'most,Rainbow trout: 2003-08-17 00:00:00__200,-121.537648,Whatcom County,48.645894,4014,3,48.645894 -121.537648
Berdeen,"Rainbow trout: 2002-08-15 00:00:00__4,000",-121.464573,Whatcom County,48.71593,5018,125.6,48.71593 -121.464573
Sweetpea,Rainbow trout: 2005-08-12 00:00:00__130,-120.943978,Skagit County,48.600949,5553,9,48.600949 -120.943978
Hidden Lake Tarn,Rainbow trout: 2002-08-22 00:00:00__276,-121.186748,Skagit County,48.502572,5947,4.5,48.502572 -121.186748
Wonder Lake 1,"Rainbow trout: 2011-09-24 00:00:00__495,Rainbow trout: 2011-09-17 00:00:00__0,Rainbow trout: 2007-09-10 00:00:00__650,Rainbow trout: 2004-08-19 00:00:00__608,Rainbow trout: 2001-08-27 00:00:00__511",-123.452939,Mason County,47.514466,3996,4.7,47.514466 -123.452939
Hidden,"Rainbow trout: 2006-09-26 00:00:00__4,000,Rainbow trout: 2001-08-27 00:00:00__3,001",-121.188723,Skagit County,48.495611,5737,61.3,48.495611 -121.188723
Spider Lake,Rainbow trout: 2006-09-11 00:00:00__325,-123.434603,Mason County,47.407198,1257,18,47.407198 -123.434603
Tracy Lake,Cutthroat trout: 2001-08-27 00:00:00__300,-123.420717,Mason County,47.465621,3590,0.9,47.465621 -123.420717
Snow Lake,"Cutthroat trout: 2012-10-29 00:00:00__399,Cutthroat trout: 2007-09-10 00:00:00__600,Cutthroat trout: 2002-08-09 00:00:00__722",-123.400881,Mason County,47.483958,3557,6,47.483958 -123.400881
Pine Lake,"Rainbow trout: 2013-07-14 00:00:00__620,Rainbow trout: 2011-08-28 00:00:00__626,Rainbow trout: 2007-09-10 00:00:00__625,Rainbow trout: 2004-08-19 00:00:00__608,Rainbow trout: 2002-08-08 00:00:00__759,Rainbow trout: 2000-09-14 00:00:00__355",-123.478157,Mason County,47.430832,1745,7.7,47.430832 -123.478157
Mildred Lakes 2,"Cutthroat trout: 2006-09-11 00:00:00__2,205,Rainbow trout: 2003-08-29 00:00:00__652,Rainbow trout: 2000-08-28 00:00:00__440",-123.299713,Mason County,47.56125,3822,11.4,47.56125 -123.299713
Pershing,"Cutthroat trout: 2011-10-29 00:00:00__100,Cutthroat trout: 2011-10-22 00:00:00__0,Cutthroat trout: 2002-08-09 00:00:00__208",-123.224849,Mason County,47.565921,4565,2,47.565921 -123.224849
Mildred - TB 2,"Cutthroat trout: 2011-09-09 00:00:00__777,Cutthroat trout: 2000-08-28 00:00:00__1,689",-123.29366,Mason County,47.560485,3758,8.5,47.560485 -123.29366
Mildred Lakes 1,"Rainbow trout: 2010-07-31 00:00:00__397,Rainbow trout: 2010-07-21 00:00:00__662,Rainbow trout: 2001-08-27 00:00:00__1,022",-123.304563,Mason County,47.556831,3816,42.3,47.556831 -123.304563
Goober Pond,"Cutthroat trout: 2002-07-31 00:00:00__1,479",-123.214996,Mason County,47.559206,3095,0.9,47.559206 -123.214996
Ellinor Lake,"Rainbow trout: 2013-08-23 00:00:00__400,Rainbow trout: 2009-08-18 00:00:00__454,Rainbow trout: 2004-08-19 00:00:00__562,Rainbow trout: 2000-08-28 00:00:00__449",-123.258589,Mason County,47.534723,3890,5.6,47.534723 -123.258589
Elk Lake - Upper,"Cutthroat trout: 2005-08-24 00:00:00__604,Rainbow trout: 2009-08-18 00:00:00__312,Rainbow trout: 2002-07-31 00:00:00__515,Rainbow trout: 2000-08-25 00:00:00__300",-123.139897,Mason County,47.565826,1156,3.8,47.565826 -123.139897
Elk,Rainbow trout: 2000-08-25 00:00:00__300,-123.136895,Mason County,47.569875,1046,9.2,47.569875 -123.136895
Lena Lk-Lower,"Cutthroat trout: 2003-08-29 00:00:00__3,207",-123.159503,Jefferson County,47.619386,1791,51.1,47.619386 -123.159503
Silver 2,"Cutthroat trout: 2009-09-27 00:00:00__300,Cutthroat trout: 2006-09-11 00:00:00__1,132,Cutthroat trout: 2003-08-29 00:00:00__255,Cutthroat trout: 2000-08-28 00:00:00__300",-123.071024,Jefferson County,47.844145,5391,2.3,47.844145 -123.071024
Jupiter 4 (Highest),"Cutthroat trout: 2011-10-18 00:00:00__200,Cutthroat trout: 2004-08-19 00:00:00__285,Cutthroat trout: 2000-08-28 00:00:00__300",-123.047882,Jefferson County,47.710454,3948,3.1,47.710454 -123.047882
Jupiter 6,"Cutthroat trout: 2004-08-19 00:00:00__142,Cutthroat trout: 2000-08-28 00:00:00__150",-123.070513,Jefferson County,47.711007,4344,2,47.711007 -123.070513
Jupiter 3,"Cutthroat trout: 2004-08-19 00:00:00__570,Cutthroat trout: 2000-08-28 00:00:00__600",-123.050242,Jefferson County,47.714733,3819,7.3,47.714733 -123.050242
Goat,"Rainbow trout: 2011-10-17 00:00:00__400,Rainbow trout: 2003-08-29 00:00:00__500",-123.189079,Jefferson County,47.839487,5943,7.3,47.839487 -123.189079
Charlia Lakes 1,"Cutthroat trout: 2003-08-29 00:00:00__776,Rainbow trout: 2011-08-28 00:00:00__700",-123.125579,Jefferson County,47.800254,5504,7.7,47.800254 -123.125579
Klone Lake 2,"Cutthroat trout: 2004-08-19 00:00:00__768,Cutthroat trout: 2000-09-14 00:00:00__623",-123.541311,Grays Harbor County,47.47564,3183,4.5,47.47564 -123.541311
Discovery,"Rainbow trout: 2009-08-12 00:00:00__502,Rainbow trout: 2004-08-19 00:00:00__346,Rainbow trout: 2000-09-14 00:00:00__213",-123.567563,Grays Harbor County,47.513022,3788,1.4,47.513022 -123.567563
Klone Lake 1,"Cutthroat trout: 2004-08-19 00:00:00__1,024,Cutthroat trout: 2000-09-14 00:00:00__1,123",-123.543874,Grays Harbor County,47.47216,3184,7.8,47.47216 -123.543874
Umtux 1,"Brook trout: 2001-06-20 00:00:00__200,Cutthroat trout: 2010-09-18 00:00:00__280,Cutthroat trout: 2008-09-09 00:00:00__389,Cutthroat trout: 2004-09-18 00:00:00__260,Cutthroat trout: 2002-09-23 00:00:00__200",-121.804227,Skamania County,45.990511,4826,1.4,45.990511 -121.804227
Tradedollar,Cutthroat trout: 2001-10-01 00:00:00__608,-122.231807,Skamania County,46.354834,3584,12.3,46.354834 -122.231807
Tombstone,"Brook trout: 2013-07-09 00:00:00__170,Brook trout: 2011-08-10 00:00:00__136,Brook trout: 2009-07-21 00:00:00__130,Brook trout: 2007-06-29 00:00:00__149,Brook trout: 2003-07-08 00:00:00__140,Brook trout: 2000-07-18 00:00:00__200",-121.793344,Skamania County,45.981441,4559,1.3,45.981441 -121.793344
Toke-Tie Pot,"Brook trout: 2013-07-09 00:00:00__270,Brook trout: 2011-08-10 00:00:00__293,Brook trout: 2009-07-21 00:00:00__130,Brook trout: 2007-06-29 00:00:00__165,Brook trout: 2000-07-18 00:00:00__500",-121.792008,Skamania County,45.988149,4591,2.9,45.988149 -121.792008
Toke-Tie,"Brook trout: 2013-07-09 00:00:00__270,Brook trout: 2011-08-10 00:00:00__264,Brook trout: 2009-07-21 00:00:00__130,Brook trout: 2007-06-29 00:00:00__160,Brook trout: 2004-06-30 00:00:00__500,Brook trout: 2003-07-08 00:00:00__150,Brook trout: 2000-07-18 00:00:00__300",-121.789927,Skamania County,45.991599,4694,2.9,45.991599 -121.789927
Takhlakh Lake,"Brook trout: 2013-07-15 00:00:00__1,588,Brook trout: 2008-08-05 00:00:00__1,962,Brook trout: 2006-06-26 00:00:00__1,841,Brook trout: 2004-08-01 00:00:00__2,671,Brook trout: 2001-06-19 00:00:00__3,840,Brook trout: 2001-06-11 00:00:00__780,Brook trout: 2001-06-01 00:00:00__6,900,Brook trout: 2000-07-19 00:00:00__2,520,Brown trout: 2013-07-23 00:00:00__3,993,Brown trout: 2010-08-03 00:00:00__1,702,Brown trout: 2003-07-15 00:00:00__2,360,Brown trout: 2002-07-17 00:00:00__2,690,Cutthroat trout: 2013-09-17 00:00:00__3,497,Cutthroat trout: 2010-09-25 00:00:00__9,368,Rainbow trout: 2011-07-26 00:00:00__4,003,Rainbow trout: 2011-07-19 00:00:00__192,Rainbow trout: 2010-08-03 00:00:00__5,038,Rainbow trout: 2010-07-19 00:00:00__172,Rainbow trout: 2009-07-27 00:00:00__4,023,Rainbow trout: 2009-06-30 00:00:00__200,Rainbow trout: 2008-08-05 00:00:00__4,000,Rainbow trout: 2007-07-16 00:00:00__4,275,Rainbow trout: 2006-07-10 00:00:00__4,171,Rainbow trout: 2004-08-02 00:00:00__4,000,Rainbow trout: 2003-08-20 00:00:00__3,783,Rainbow trout: 2002-07-31 00:00:00__4,127,Rainbow trout: 2001-08-30 00:00:00__4,593",-121.596481,Skamania County,46.278152,4389,32.6,46.278152 -121.596481
Surprise 16,"Brook trout: 2013-06-10 00:00:00__2,000,Brook trout: 2011-08-09 00:00:00__2,367,Brook trout: 2010-07-26 00:00:00__2,160,Brook trout: 2009-07-07 00:00:00__1,207,Brook trout: 2008-08-08 00:00:00__2,151,Brook trout: 2007-06-02 00:00:00__1,500,Brook trout: 2006-07-18 00:00:00__2,000,Brook trout: 2004-06-21 00:00:00__2,000,Brook trout: 2003-06-23 00:00:00__2,000,Brook trout: 2002-07-08 00:00:00__2,039,Brook trout: 2001-06-01 00:00:00__2,000,Brook trout: 2000-06-26 00:00:00__2,000",-121.758649,Skamania County,46.085519,4189,2,46.085519 -121.758649
Steamboat - Little,"Brook trout: 2013-07-09 00:00:00__200,Brook trout: 2011-07-29 00:00:00__201,Brook trout: 2010-07-21 00:00:00__237,Brook trout: 2009-07-06 00:00:00__200,Brook trout: 2007-06-26 00:00:00__200,Brook trout: 2003-06-18 00:00:00__200,Brook trout: 2001-06-13 00:00:00__200,Brook trout: 2000-06-28 00:00:00__200",-121.710629,Skamania County,46.131717,3909,3.6,46.131717 -121.710629
Rock - Little,"Cutthroat trout: 2010-09-18 00:00:00__224,Cutthroat trout: 2008-09-09 00:00:00__233,Cutthroat trout: 2004-09-18 00:00:00__200,Cutthroat trout: 2002-09-23 00:00:00__200",-121.805025,Skamania County,45.997287,4782,0.9,45.997287 -121.805025
Steamboat,"Brook trout: 2013-07-09 00:00:00__1,000,Brook trout: 2011-07-29 00:00:00__1,001,Brook trout: 2010-07-21 00:00:00__1,539,Brook trout: 2009-07-06 00:00:00__1,070,Brook trout: 2008-07-22 00:00:00__1,007,Brook trout: 2007-06-26 00:00:00__730,Brook trout: 2006-06-27 00:00:00__1,023,Brook trout: 2004-06-21 00:00:00__4,000,Brook trout: 2003-06-18 00:00:00__1,000,Brook trout: 2002-07-02 00:00:00__1,000,Brook trout: 2001-06-13 00:00:00__1,000,Brook trout: 2000-06-28 00:00:00__1,000,Brown trout: 2013-07-09 00:00:00__1,000,Brown trout: 2011-07-28 00:00:00__1,001,Brown trout: 2010-07-21 00:00:00__1,139,Brown trout: 2008-07-22 00:00:00__1,002,Brown trout: 2007-06-26 00:00:00__1,000,Brown trout: 2006-06-27 00:00:00__1,006,Brown trout: 2004-06-21 00:00:00__1,000,Brown trout: 2003-06-18 00:00:00__1,000,Brown trout: 2002-07-01 00:00:00__1,018,Brown trout: 2001-06-13 00:00:00__1,000,Tiger trout: 2002-07-02 00:00:00__1,000,Tiger trout: 2000-07-17 00:00:00__585,Tiger trout: 2000-07-17 00:00:00__114",-121.714638,Skamania County,46.129212,4026,13,46.129212 -121.714638
Rock,"Brook trout: 2006-05-15 00:00:00__300,Cutthroat trout: 2013-09-10 00:00:00__200,Cutthroat trout: 2011-09-20 00:00:00__202,Cutthroat trout: 2009-09-19 00:00:00__204,Cutthroat trout: 2007-09-15 00:00:00__300,Cutthroat trout: 2006-09-18 00:00:00__200,Cutthroat trout: 2003-09-20 00:00:00__200,Cutthroat trout: 2001-09-27 00:00:00__300",-121.804824,Skamania County,45.998452,4780,1.9,45.998452 -121.804824
Pemi,"Brook trout: 2004-06-30 00:00:00__200,Brook trout: 2000-07-20 00:00:00__210",-122.104526,Skamania County,45.838237,3863,2,45.838237 -122.104526
Olallie,"Brook trout: 2013-07-03 00:00:00__1,000,Brook trout: 2010-07-19 00:00:00__1,671,Brook trout: 2009-06-29 00:00:00__801,Brook trout: 2008-07-23 00:00:00__2,001,Brook trout: 2007-06-03 00:00:00__1,825,Brook trout: 2006-06-25 00:00:00__2,000,Brook trout: 2004-06-28 00:00:00__2,000,Brook trout: 2003-07-15 00:00:00__890,Brook trout: 2003-06-16 00:00:00__2,000,Brook trout: 2001-06-11 00:00:00__2,028,Brook trout: 2000-07-11 00:00:00__2,067,Brown trout: 2013-07-03 00:00:00__950,Brown trout: 2011-07-22 00:00:00__952,Brown trout: 2010-07-19 00:00:00__2,039,Brown trout: 2009-06-29 00:00:00__1,952,Brown trout: 2008-07-23 00:00:00__2,001,Brown trout: 2007-06-03 00:00:00__2,028,Brown trout: 2006-06-25 00:00:00__2,012,Brown trout: 2004-06-28 00:00:00__2,000,Brown trout: 2003-06-16 00:00:00__1,000,Brown trout: 2002-07-16 00:00:00__1,000,Cutthroat trout: 2013-09-17 00:00:00__1,332,Rainbow trout: 2008-08-07 00:00:00__1,430,Rainbow trout: 2007-07-18 00:00:00__1,479,Rainbow trout: 2001-07-02 00:00:00__1,476,Tiger trout: 2013-07-03 00:00:00__1,000,Tiger trout: 2011-07-22 00:00:00__1,100,Tiger trout: 2009-06-29 00:00:00__1,101,Tiger trout: 2007-07-03 00:00:00__1,500,Tiger trout: 2003-06-16 00:00:00__894,Tiger trout: 2002-07-16 00:00:00__1,000,Tiger trout: 2000-07-11 00:00:00__571",-121.616546,Skamania County,46.288947,4242,13.7,46.288947 -121.616546
Naha,"Cutthroat trout: 2013-09-04 00:00:00__180,Cutthroat trout: 2011-09-20 00:00:00__189,Cutthroat trout: 2009-09-19 00:00:00__204,Cutthroat trout: 2007-09-15 00:00:00__300,Cutthroat trout: 2006-09-18 00:00:00__150,Cutthroat trout: 2003-09-20 00:00:00__150,Cutthroat trout: 2001-09-27 00:00:00__100",-121.808487,Skamania County,45.998546,4773,1.7,45.998546 -121.808487
Mouse,"Cutthroat trout: 2012-08-29 00:00:00__400,Cutthroat trout: 2010-08-19 00:00:00__400,Cutthroat trout: 2008-08-25 00:00:00__403,Cutthroat trout: 2006-08-31 00:00:00__436,Cutthroat trout: 2004-09-14 00:00:00__396,Cutthroat trout: 2002-09-18 00:00:00__412",-121.662817,Skamania County,46.360087,4470,7.9,46.360087 -121.662817
Moon,"Brook trout: 2004-06-30 00:00:00__200,Brook trout: 2000-07-20 00:00:00__210",-122.100042,Skamania County,45.842715,3460,1.5,45.842715 -122.100042
Kwaddis,"Brook trout: 2001-06-19 00:00:00__350,Brook trout: 2000-06-21 00:00:00__350,Cutthroat trout: 2013-09-03 00:00:00__371,Cutthroat trout: 2010-09-18 00:00:00__872,Cutthroat trout: 2008-09-09 00:00:00__427,Cutthroat trout: 2004-09-18 00:00:00__500,Cutthroat trout: 2002-09-23 00:00:00__400",-121.830996,Skamania County,46.000734,4309,3.1,46.000734 -121.830996
Lemei,"Cutthroat trout: 2010-09-18 00:00:00__700,Cutthroat trout: 2008-09-09 00:00:00__700,Cutthroat trout: 2004-09-18 00:00:00__700,Cutthroat trout: 2002-09-23 00:00:00__700",-121.776813,Skamania County,46.017913,4865,6.1,46.017913 -121.776813
Island,"Golden trout: 2009-09-13 00:00:00__700,Golden trout: 2004-09-30 00:00:00__660",-121.587759,Skamania County,46.199081,5393,4.4,46.199081 -121.587759
Intermittent Lake,"Brook trout: 2010-07-27 00:00:00__405,Brook trout: 2007-06-25 00:00:00__350,Brook trout: 2003-06-19 00:00:00__473,Brook trout: 2000-06-26 00:00:00__400",-121.788183,Skamania County,45.94091,3857,2.4,45.94091 -121.788183
