name,stocking_info,longitude,county,latitude,alt,size,location
Tinkham Peak,"Rainbow trout: 2010-10-14 00:00:00__60,Rainbow trout: 2010-07-29 00:00:00__60,Rainbow trout: 2006-09-29 00:00:00__125,Rainbow trout: 2003-08-03 00:00:00__90,Rainbow trout: 2000-08-05 00:00:00__110",-121.450465,Kittitas County,47.349874,4590,0.1,47.349874 -121.450465
Thorp,"Rainbow trout: 2013-08-22 00:00:00__210,Rainbow trout: 2012-07-27 00:00:00__210,Rainbow trout: 2011-09-22 00:00:00__210,Rainbow trout: 2010-07-31 00:00:00__210,Rainbow trout: 2009-08-01 00:00:00__210,Rainbow trout: 2007-08-14 00:00:00__105,Rainbow trout: 2007-08-14 00:00:00__103,Rainbow trout: 2005-07-22 00:00:00__210,Rainbow trout: 2004-08-28 00:00:00__209,Rainbow trout: 2003-09-13 00:00:00__210,Rainbow trout: 2002-09-29 00:00:00__209,Rainbow trout: 2001-07-15 00:00:00__210",-121.199701,Kittitas County,47.366399,4674,9.1,47.366399 -121.199701
Taneum,"Cutthroat trout: 2013-10-21 00:00:00__330,Cutthroat trout: 2010-09-05 00:00:00__470,Cutthroat trout: 2007-09-12 00:00:00__470,Rainbow trout: 2004-09-15 00:00:00__460",-121.042957,Kittitas County,47.06101,5271,3.2,47.06101 -121.042957
Terence,"Rainbow trout: 2012-09-29 00:00:00__855,Rainbow trout: 2011-10-19 00:00:00__43,Rainbow trout: 2007-10-17 00:00:00__857,Rainbow trout: 2002-08-03 00:00:00__857",-121.089425,Kittitas County,47.456818,5544,13.5,47.456818 -121.089425
Talus Slope,"Rainbow trout: 2010-08-21 00:00:00__100,Rainbow trout: 2006-07-29 00:00:00__100,Rainbow trout: 2002-07-06 00:00:00__99",-121.436941,Kittitas County,47.310013,4147,1,47.310013 -121.436941
Swan,"Cutthroat trout: 2013-09-06 00:00:00__590,Cutthroat trout: 2011-09-18 00:00:00__590,Cutthroat trout: 2009-08-09 00:00:00__590,Cutthroat trout: 2007-08-05 00:00:00__490,Cutthroat trout: 2005-09-11 00:00:00__590,Cutthroat trout: 2003-10-12 00:00:00__590,Cutthroat trout: 2001-09-06 00:00:00__590",-121.320324,Kittitas County,47.375515,4030,7.3,47.375515 -121.320324
Stonesthrow,"Cutthroat trout: 2012-08-29 00:00:00__100,Cutthroat trout: 2008-08-31 00:00:00__100,Rainbow trout: 2006-07-29 00:00:00__100,Rainbow trout: 2004-09-09 00:00:00__100,Rainbow trout: 2002-07-06 00:00:00__30,Rainbow trout: 2000-08-10 00:00:00__30",-121.328002,Kittitas County,47.379253,4422,1.5,47.379253 -121.328002
Summit Chief,"Golden trout: 2009-09-11 00:00:00__319,Golden trout: 2002-10-13 00:00:00__320",-121.255681,Kittitas County,47.51261,5350,3.8,47.51261 -121.255681
Squaw Pd Upper,"Golden trout: 2012-09-29 00:00:00__50,Golden trout: 2009-09-27 00:00:00__50",-121.115668,Kittitas County,47.531125,5358,1,47.531125 -121.115668
Squaw,"Rainbow trout: 2013-07-27 00:00:00__900,Rainbow trout: 2010-07-31 00:00:00__900,Rainbow trout: 2007-07-29 00:00:00__900,Rainbow trout: 2003-09-22 00:00:00__900,Rainbow trout: 2000-08-22 00:00:00__1,008",-121.113991,Kittitas County,47.534773,4870,8.8,47.534773 -121.113991
Rock Rabbit - Lower,"Rainbow trout: 2013-09-14 00:00:00__100,Rainbow trout: 2011-08-26 00:00:00__100,Rainbow trout: 2009-08-09 00:00:00__100,Rainbow trout: 2007-07-28 00:00:00__100,Rainbow trout: 2005-09-11 00:00:00__100,Rainbow trout: 2003-07-08 00:00:00__100,Rainbow trout: 2001-07-11 00:00:00__100",-121.32688,Kittitas County,47.37186,4143,1.2,47.37186 -121.32688
Rock Rabbit - Upper,"Rainbow trout: 2013-09-20 00:00:00__270,Rainbow trout: 2013-09-14 00:00:00__0,Rainbow trout: 2011-08-26 00:00:00__269,Rainbow trout: 2009-08-09 00:00:00__270,Rainbow trout: 2007-07-28 00:00:00__270,Rainbow trout: 2005-09-11 00:00:00__270,Rainbow trout: 2003-07-08 00:00:00__270,Rainbow trout: 2001-07-11 00:00:00__270",-121.323724,Kittitas County,47.371024,4199,4.2,47.371024 -121.323724
Ridge,"Rainbow trout: 2013-08-27 00:00:00__80,Rainbow trout: 2009-08-26 00:00:00__80,Rainbow trout: 2005-07-23 00:00:00__80,Rainbow trout: 2001-09-07 00:00:00__80",-121.330629,Kittitas County,47.378405,4461,0.7,47.378405 -121.330629
Rampart 2,"Cutthroat trout: 2011-08-27 00:00:00__200,Cutthroat trout: 2007-07-22 00:00:00__264",-121.33938,Kittitas County,47.419297,5082,3.8,47.419297 -121.33938
Ridge,"Rainbow trout: 2013-07-25 00:00:00__90,Rainbow trout: 2011-08-30 00:00:00__90,Rainbow trout: 2009-07-14 00:00:00__90,Rainbow trout: 2007-07-26 00:00:00__90,Rainbow trout: 2005-07-20 00:00:00__90,Rainbow trout: 2003-07-19 00:00:00__89,Rainbow trout: 2001-07-21 00:00:00__90",-121.367189,Kittitas County,47.461335,5270,2,47.461335 -121.367189
Rampart 1,"Cutthroat trout: 2011-08-27 00:00:00__300,Cutthroat trout: 2007-07-22 00:00:00__400",-121.340449,Kittitas County,47.415703,5083,6.3,47.415703 -121.340449
Rachel,"Cutthroat trout: 2000-08-22 00:00:00__2,260",-121.330965,Kittitas County,47.420569,4664,25.1,47.420569 -121.330965
Portage,"Cutthroat trout: 2013-09-16 00:00:00__73,Cutthroat trout: 2013-09-15 00:00:00__70,Cutthroat trout: 2009-10-04 00:00:00__140,Cutthroat trout: 2005-08-08 00:00:00__140,Cutthroat trout: 2001-09-29 00:00:00__140",-121.208708,Kittitas County,47.356222,4635,1.7,47.356222 -121.208708
Peggys Pond,"Rainbow trout: 2011-09-03 00:00:00__300,Rainbow trout: 2007-08-14 00:00:00__300,Rainbow trout: 2003-09-22 00:00:00__300",-121.141683,Kittitas County,47.556134,5587,4.3,47.556134 -121.141683
Mirror,"Golden trout: 2013-10-11 00:00:00__745,Golden trout: 2012-09-27 00:00:00__570,Golden trout: 2009-09-01 00:00:00__570,Golden trout: 2006-09-29 00:00:00__570,Rainbow trout: 2011-09-29 00:00:00__568,Rainbow trout: 2010-10-14 00:00:00__569,Rainbow trout: 2008-10-12 00:00:00__570,Rainbow trout: 2007-09-30 00:00:00__570,Rainbow trout: 2005-09-15 00:00:00__570,Rainbow trout: 2004-07-14 00:00:00__565,Rainbow trout: 2003-08-03 00:00:00__570,Rainbow trout: 2002-08-14 00:00:00__580,Rainbow trout: 2001-08-26 00:00:00__580,Rainbow trout: 2000-08-05 00:00:00__580",-121.439429,Kittitas County,47.34583,4199,28.3,47.34583 -121.439429
Park - Upper,"Cutthroat trout: 2010-09-07 00:00:00__100,Golden trout: 2002-10-07 00:00:00__859,Rainbow trout: 2010-09-07 00:00:00__100",-121.298946,Kittitas County,47.449126,4709,10.3,47.449126 -121.298946
Margaret,"Rainbow trout: 2011-08-29 00:00:00__330,Rainbow trout: 2007-07-15 00:00:00__330,Rainbow trout: 2003-10-05 00:00:00__300",-121.335476,Kittitas County,47.381085,4789,4.1,47.381085 -121.335476
